match,player,X,Y
Goiás x São Paulo,Gabriel Sara,83,64
Goiás x São Paulo,Gabriel Sara,83,63
Goiás x São Paulo,Gabriel Sara,52,5
Goiás x São Paulo,Gabriel Sara,71,95
Goiás x São Paulo,Gabriel Sara,74,87
Goiás x São Paulo,Gabriel Sara,82,71
Goiás x São Paulo,Gabriel Sara,80,8
Goiás x São Paulo,Gabriel Sara,79,9
Goiás x São Paulo,Gabriel Sara,85,26
Goiás x São Paulo,Gabriel Sara,76,4
Goiás x São Paulo,Gabriel Sara,62,9
Goiás x São Paulo,Gabriel Sara,67,12
Goiás x São Paulo,Gabriel Sara,71,11
Goiás x São Paulo,Gabriel Sara,88,88
Goiás x São Paulo,Gabriel Sara,99,76
Goiás x São Paulo,Gabriel Sara,52,39
Goiás x São Paulo,Gabriel Sara,95,72
Goiás x São Paulo,Gabriel Sara,98,88
Goiás x São Paulo,Gabriel Sara,97,87
Goiás x São Paulo,Gabriel Sara,76,28
Goiás x São Paulo,Gabriel Sara,45,19
Goiás x São Paulo,Gabriel Sara,90,82
Goiás x São Paulo,Gabriel Sara,25,35
Goiás x São Paulo,Gabriel Sara,36,32
Goiás x São Paulo,Gabriel Sara,76,80
Goiás x São Paulo,Gabriel Sara,83,82
Goiás x São Paulo,Gabriel Sara,91,75
Goiás x São Paulo,Gabriel Sara,41,9
Goiás x São Paulo,Gabriel Sara,15,54
Goiás x São Paulo,Gabriel Sara,35,23
Goiás x São Paulo,Gabriel Sara,26,15
Goiás x São Paulo,Gabriel Sara,29,14
Goiás x São Paulo,Gabriel Sara,41,20
Goiás x São Paulo,Gabriel Sara,34,6
Goiás x São Paulo,Gabriel Sara,43,28
Goiás x São Paulo,Gabriel Sara,92,43
Goiás x São Paulo,Gabriel Sara,92,42
Goiás x São Paulo,Gabriel Sara,64,24
Goiás x São Paulo,Gabriel Sara,44,6
Goiás x São Paulo,Gabriel Sara,78,39
Goiás x São Paulo,Gabriel Sara,36,17
Goiás x São Paulo,Gabriel Sara,74,50
Goiás x São Paulo,Gabriel Sara,36,29
Goiás x São Paulo,Gabriel Sara,37,28
Goiás x São Paulo,Gabriel Sara,29,16
Goiás x São Paulo,Gabriel Sara,29,15
Goiás x São Paulo,Gabriel Sara,38,10
Goiás x São Paulo,I. Gomes,59,18
Goiás x São Paulo,I. Gomes,71,15
Goiás x São Paulo,I. Gomes,61,41
Goiás x São Paulo,I. Gomes,63,63
Goiás x São Paulo,I. Gomes,70,96
Goiás x São Paulo,I. Gomes,65,94
Goiás x São Paulo,I. Gomes,55,84
Goiás x São Paulo,I. Gomes,71,51
Goiás x São Paulo,I. Gomes,80,50
Goiás x São Paulo,I. Gomes,78,53
Goiás x São Paulo,I. Gomes,48,87
Goiás x São Paulo,I. Gomes,50,90
Goiás x São Paulo,I. Gomes,89,88
Goiás x São Paulo,I. Gomes,70,92
Goiás x São Paulo,I. Gomes,75,32
Goiás x São Paulo,I. Gomes,18,86
Goiás x São Paulo,I. Gomes,72,3
Goiás x São Paulo,I. Gomes,74,10
Goiás x São Paulo,I. Gomes,63,91
Goiás x São Paulo,I. Gomes,60,64
Goiás x São Paulo,I. Gomes,73,76
Goiás x São Paulo,I. Gomes,63,80
Goiás x São Paulo,I. Gomes,62,86
Goiás x São Paulo,I. Gomes,64,86
Goiás x São Paulo,I. Gomes,70,87
Goiás x São Paulo,I. Gomes,70,2
Goiás x São Paulo,I. Gomes,66,16
Goiás x São Paulo,I. Gomes,46,73
Goiás x São Paulo,I. Gomes,57,92
Goiás x São Paulo,I. Gomes,19,55
Goiás x São Paulo,I. Gomes,38,41
Goiás x São Paulo,I. Gomes,69,51
Goiás x São Paulo,I. Gomes,24,50
Goiás x São Paulo,I. Gomes,76,88
Goiás x São Paulo,I. Gomes,74,83
Goiás x São Paulo,I. Gomes,88,36
Goiás x São Paulo,I. Gomes,88,33
Goiás x São Paulo,I. Gomes,61,82
Goiás x São Paulo,I. Gomes,39,91
Goiás x São Paulo,I. Gomes,36,88
Goiás x São Paulo,I. Gomes,31,74
Goiás x São Paulo,I. Gomes,30,83
Goiás x São Paulo,I. Gomes,30,74
Goiás x São Paulo,I. Gomes,36,63
Goiás x São Paulo,I. Gomes,33,94
Goiás x São Paulo,I. Gomes,54,43
Goiás x São Paulo,I. Gomes,52,81
Goiás x São Paulo,I. Gomes,47,83
Goiás x São Paulo,I. Gomes,71,75
Goiás x São Paulo,I. Gomes,43,16
Goiás x São Paulo,I. Gomes,96,16
Goiás x São Paulo,I. Gomes,32,82
Goiás x São Paulo,I. Gomes,42,96
Goiás x São Paulo,I. Gomes,42,69
Goiás x São Paulo,Luciano,32,92
Goiás x São Paulo,Luciano,31,92
Goiás x São Paulo,Luciano,57,31
Goiás x São Paulo,Luciano,61,25
Goiás x São Paulo,Luciano,72,45
Goiás x São Paulo,Luciano,73,47
Goiás x São Paulo,Luciano,56,35
Goiás x São Paulo,Luciano,62,44
Goiás x São Paulo,Luciano,97,74
Goiás x São Paulo,Luciano,97,74
Goiás x São Paulo,Luciano,73,78
Goiás x São Paulo,Luciano,78,72
Goiás x São Paulo,Luciano,55,12
Goiás x São Paulo,Luciano,37,66
Goiás x São Paulo,Luciano,38,71
Goiás x São Paulo,Luciano,46,95
Goiás x São Paulo,Luciano,60,39
Goiás x São Paulo,Luciano,78,26
Goiás x São Paulo,Luciano,51,71
