match,player,X,Y
Flamengo x Atl. Mineiro,Léo Pereira,60,59
Flamengo x Atl. Mineiro,Léo Pereira,21,34
Flamengo x Atl. Mineiro,Léo Pereira,41,40
Flamengo x Atl. Mineiro,Léo Pereira,44,97
Flamengo x Atl. Mineiro,Léo Pereira,43,73
Flamengo x Atl. Mineiro,Léo Pereira,52,48
Flamengo x Atl. Mineiro,Léo Pereira,43,58
Flamengo x Atl. Mineiro,Léo Pereira,9,49
Flamengo x Atl. Mineiro,Léo Pereira,42,72
Flamengo x Atl. Mineiro,Léo Pereira,37,90
Flamengo x Atl. Mineiro,Léo Pereira,55,49
Flamengo x Atl. Mineiro,Léo Pereira,60,61
Flamengo x Atl. Mineiro,Léo Pereira,25,35
Flamengo x Atl. Mineiro,Léo Pereira,26,28
Flamengo x Atl. Mineiro,Léo Pereira,23,56
Flamengo x Atl. Mineiro,Léo Pereira,46,35
Flamengo x Atl. Mineiro,Léo Pereira,46,74
Flamengo x Atl. Mineiro,Léo Pereira,51,89
Flamengo x Atl. Mineiro,Léo Pereira,33,45
Flamengo x Atl. Mineiro,Léo Pereira,22,65
Flamengo x Atl. Mineiro,Léo Pereira,28,49
Flamengo x Atl. Mineiro,Léo Pereira,31,70
Flamengo x Atl. Mineiro,Léo Pereira,34,66
Flamengo x Atl. Mineiro,Léo Pereira,27,52
Flamengo x Atl. Mineiro,Léo Pereira,16,88
Flamengo x Atl. Mineiro,Léo Pereira,42,94
Flamengo x Atl. Mineiro,Léo Pereira,30,81
Flamengo x Atl. Mineiro,Léo Pereira,39,64
Flamengo x Atl. Mineiro,Léo Pereira,57,87
Flamengo x Atl. Mineiro,Léo Pereira,27,73
Flamengo x Atl. Mineiro,Léo Pereira,25,72
Flamengo x Atl. Mineiro,Léo Pereira,32,57
Flamengo x Atl. Mineiro,Léo Pereira,26,83
Flamengo x Atl. Mineiro,Léo Pereira,30,53
Flamengo x Atl. Mineiro,Léo Pereira,54,89
Flamengo x Atl. Mineiro,Léo Pereira,30,51
Flamengo x Atl. Mineiro,Léo Pereira,31,54
Flamengo x Atl. Mineiro,Léo Pereira,34,52
Flamengo x Atl. Mineiro,Léo Pereira,26,51
Flamengo x Atl. Mineiro,Léo Pereira,19,92
Flamengo x Atl. Mineiro,Léo Pereira,14,82
Flamengo x Atl. Mineiro,Léo Pereira,20,93
Flamengo x Atl. Mineiro,Léo Pereira,27,68
Flamengo x Atl. Mineiro,Léo Pereira,24,67
Flamengo x Atl. Mineiro,Léo Pereira,13,72
Flamengo x Atl. Mineiro,Léo Pereira,27,62
Flamengo x Atl. Mineiro,Léo Pereira,29,85
Flamengo x Atl. Mineiro,Léo Pereira,39,31
Flamengo x Atl. Mineiro,Léo Pereira,51,39
Flamengo x Atl. Mineiro,Léo Pereira,33,68
Flamengo x Atl. Mineiro,Léo Pereira,31,65
Flamengo x Atl. Mineiro,Léo Pereira,27,72
Flamengo x Atl. Mineiro,Léo Pereira,65,83
Flamengo x Atl. Mineiro,Léo Pereira,68,80
Flamengo x Atl. Mineiro,Léo Pereira,36,54
Flamengo x Atl. Mineiro,Léo Pereira,35,51
Flamengo x Atl. Mineiro,Léo Pereira,54,67
Flamengo x Atl. Mineiro,Léo Pereira,46,67
Flamengo x Atl. Mineiro,Léo Pereira,60,85
Flamengo x Atl. Mineiro,Léo Pereira,35,28
Flamengo x Atl. Mineiro,Léo Pereira,42,64
Flamengo x Atl. Mineiro,Léo Pereira,26,82
Flamengo x Atl. Mineiro,Léo Pereira,25,86
Flamengo x Atl. Mineiro,Léo Pereira,46,87
Flamengo x Atl. Mineiro,Léo Pereira,58,94
Flamengo x Atl. Mineiro,Léo Pereira,60,93
Flamengo x Atl. Mineiro,Léo Pereira,27,32
Flamengo x Atl. Mineiro,Léo Pereira,38,70
Flamengo x Atl. Mineiro,Léo Pereira,55,68
Flamengo x Atl. Mineiro,Léo Pereira,18,63
Flamengo x Atl. Mineiro,Léo Pereira,24,59
Flamengo x Atl. Mineiro,F. Luís,33,92
Flamengo x Atl. Mineiro,F. Luís,53,90
Flamengo x Atl. Mineiro,F. Luís,26,91
Flamengo x Atl. Mineiro,F. Luís,39,100
Flamengo x Atl. Mineiro,F. Luís,23,92
Flamengo x Atl. Mineiro,F. Luís,62,97
Flamengo x Atl. Mineiro,F. Luís,51,95
Flamengo x Atl. Mineiro,F. Luís,50,100
Flamengo x Atl. Mineiro,F. Luís,53,67
Flamengo x Atl. Mineiro,F. Luís,11,94
Flamengo x Atl. Mineiro,F. Luís,5,50
Flamengo x Atl. Mineiro,F. Luís,45,67
Flamengo x Atl. Mineiro,F. Luís,70,98
Flamengo x Atl. Mineiro,F. Luís,69,98
Flamengo x Atl. Mineiro,F. Luís,60,94
Flamengo x Atl. Mineiro,F. Luís,32,96
Flamengo x Atl. Mineiro,F. Luís,89,85
Flamengo x Atl. Mineiro,F. Luís,24,78
Flamengo x Atl. Mineiro,F. Luís,24,77
Flamengo x Atl. Mineiro,F. Luís,55,94
Flamengo x Atl. Mineiro,F. Luís,21,76
Flamengo x Atl. Mineiro,F. Luís,83,91
Flamengo x Atl. Mineiro,F. Luís,88,81
Flamengo x Atl. Mineiro,F. Luís,22,74
Flamengo x Atl. Mineiro,F. Luís,36,86
Flamengo x Atl. Mineiro,F. Luís,43,89
Flamengo x Atl. Mineiro,F. Luís,53,90
Flamengo x Atl. Mineiro,F. Luís,45,91
Flamengo x Atl. Mineiro,F. Luís,87,74
Flamengo x Atl. Mineiro,F. Luís,58,90
Flamengo x Atl. Mineiro,F. Luís,84,85
Flamengo x Atl. Mineiro,F. Luís,23,96
Flamengo x Atl. Mineiro,F. Luís,46,95
Flamengo x Atl. Mineiro,F. Luís,65,100
Flamengo x Atl. Mineiro,F. Luís,31,89
Flamengo x Atl. Mineiro,F. Luís,28,91
Flamengo x Atl. Mineiro,F. Luís,65,93
Flamengo x Atl. Mineiro,F. Luís,63,90
Flamengo x Atl. Mineiro,F. Luís,85,93
Flamengo x Atl. Mineiro,F. Luís,26,92
Flamengo x Atl. Mineiro,F. Luís,32,69
Flamengo x Atl. Mineiro,F. Luís,32,69
Flamengo x Atl. Mineiro,F. Luís,29,90
Flamengo x Atl. Mineiro,F. Luís,26,97
Flamengo x Atl. Mineiro,F. Luís,20,100
Flamengo x Atl. Mineiro,F. Luís,29,92
Flamengo x Atl. Mineiro,F. Luís,7,70
Flamengo x Atl. Mineiro,F. Luís,63,100
Flamengo x Atl. Mineiro,F. Luís,47,86
Flamengo x Atl. Mineiro,F. Luís,54,74
Flamengo x Atl. Mineiro,F. Luís,33,67
Flamengo x Atl. Mineiro,F. Luís,63,100
Flamengo x Atl. Mineiro,F. Luís,38,60
Flamengo x Atl. Mineiro,F. Luís,69,100
Flamengo x Atl. Mineiro,F. Luís,3,94
Flamengo x Atl. Mineiro,F. Luís,5,94
Flamengo x Atl. Mineiro,F. Luís,24,95
Flamengo x Atl. Mineiro,F. Luís,2,68
Flamengo x Atl. Mineiro,F. Luís,0,70
Flamengo x Atl. Mineiro,F. Luís,25,100
Flamengo x Atl. Mineiro,F. Luís,32,96
Flamengo x Atl. Mineiro,F. Luís,36,96
Flamengo x Atl. Mineiro,F. Luís,43,94
Flamengo x Atl. Mineiro,F. Luís,24,79
Flamengo x Atl. Mineiro,F. Luís,21,80
Flamengo x Atl. Mineiro,F. Luís,36,90
Flamengo x Atl. Mineiro,F. Luís,64,76
Flamengo x Atl. Mineiro,F. Luís,50,68
Flamengo x Atl. Mineiro,F. Luís,44,91
Flamengo x Atl. Mineiro,F. Luís,39,88
Flamengo x Atl. Mineiro,F. Luís,62,83
Flamengo x Atl. Mineiro,F. Luís,60,77
Flamengo x Atl. Mineiro,F. Luís,58,75
Flamengo x Atl. Mineiro,F. Luís,62,65
Flamengo x Atl. Mineiro,F. Luís,63,85
Flamengo x Atl. Mineiro,F. Luís,67,64
Flamengo x Atl. Mineiro,F. Luís,58,69
Flamengo x Atl. Mineiro,F. Luís,63,83
Flamengo x Atl. Mineiro,F. Luís,72,84
Flamengo x Atl. Mineiro,F. Luís,72,67
Flamengo x Atl. Mineiro,F. Luís,42,66
Flamengo x Atl. Mineiro,F. Luís,29,94
Flamengo x Atl. Mineiro,F. Luís,29,94
Flamengo x Atl. Mineiro,F. Luís,28,94
Flamengo x Atl. Mineiro,F. Luís,29,94
Flamengo x Atl. Mineiro,F. Luís,41,89
Flamengo x Atl. Mineiro,F. Luís,41,88
Flamengo x Atl. Mineiro,F. Luís,66,91
Flamengo x Atl. Mineiro,F. Luís,75,87
Flamengo x Atl. Mineiro,F. Luís,96,94
Flamengo x Atl. Mineiro,F. Luís,41,63
Flamengo x Atl. Mineiro,F. Luís,45,54
Flamengo x Atl. Mineiro,F. Luís,61,67
Flamengo x Atl. Mineiro,F. Luís,79,77
Flamengo x Atl. Mineiro,F. Luís,80,100
Flamengo x Atl. Mineiro,F. Luís,42,92
Flamengo x Atl. Mineiro,F. Luís,67,90
Flamengo x Atl. Mineiro,F. Luís,89,90
Flamengo x Atl. Mineiro,F. Luís,100,91
Flamengo x Atl. Mineiro,F. Luís,36,93
Flamengo x Atl. Mineiro,Gerson,75,24
Flamengo x Atl. Mineiro,Gerson,39,38
Flamengo x Atl. Mineiro,Gerson,10,15
Flamengo x Atl. Mineiro,Gerson,81,44
Flamengo x Atl. Mineiro,Gerson,92,45
Flamengo x Atl. Mineiro,Gerson,70,18
Flamengo x Atl. Mineiro,Gerson,32,51
Flamengo x Atl. Mineiro,Gerson,55,31
Flamengo x Atl. Mineiro,Gerson,42,36
Flamengo x Atl. Mineiro,Gerson,46,42
Flamengo x Atl. Mineiro,Gerson,44,70
Flamengo x Atl. Mineiro,Gerson,62,9
Flamengo x Atl. Mineiro,Gerson,59,11
Flamengo x Atl. Mineiro,Gerson,42,29
Flamengo x Atl. Mineiro,Gerson,43,91
Flamengo x Atl. Mineiro,Gerson,39,30
Flamengo x Atl. Mineiro,Gerson,30,25
Flamengo x Atl. Mineiro,Gerson,34,29
Flamengo x Atl. Mineiro,Gerson,85,28
Flamengo x Atl. Mineiro,Gerson,33,40
Flamengo x Atl. Mineiro,Gerson,37,44
Flamengo x Atl. Mineiro,Gerson,34,52
Flamengo x Atl. Mineiro,Gerson,42,34
Flamengo x Atl. Mineiro,Gerson,22,17
Flamengo x Atl. Mineiro,Gerson,41,32
Flamengo x Atl. Mineiro,Gerson,60,34
Flamengo x Atl. Mineiro,Gerson,68,48
Flamengo x Atl. Mineiro,Gerson,63,47
Flamengo x Atl. Mineiro,Gerson,54,55
Flamengo x Atl. Mineiro,Gerson,64,84
Flamengo x Atl. Mineiro,Gerson,98,74
Flamengo x Atl. Mineiro,Gerson,100,69
Flamengo x Atl. Mineiro,Gerson,49,32
Flamengo x Atl. Mineiro,Gerson,46,50
Flamengo x Atl. Mineiro,Gerson,71,51
Flamengo x Atl. Mineiro,Gerson,69,42
Flamengo x Atl. Mineiro,Gerson,43,30
Flamengo x Atl. Mineiro,Gerson,35,37
Flamengo x Atl. Mineiro,Gerson,59,83
Flamengo x Atl. Mineiro,Gerson,24,50
